"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type.x","id.x","uri.x","track_href","analysis_url","duration_ms.x","time_signature","disc_number","duration_ms.y","explicit","href","is_local","is_playable","name.x","popularity","preview_url","track_number","type.y","uri.y","album.album_type","album.href","album.id","album.name","album.release_date","album.release_date_precision","album.total_tracks","album.type","album.uri","album.external_urls.spotify","external_ids.isrc","external_urls.spotify","artist_id","name.y","id.y","artist"
"1",0.74,0.623,8,-6.04,0,0.317,0.016,0,0.149,0.867,86.849,"audio_features","0Oi53c5eVcWMw8iOAJNTLH","spotify:track:0Oi53c5eVcWMw8iOAJNTLH","https://api.spotify.com/v1/tracks/0Oi53c5eVcWMw8iOAJNTLH","https://api.spotify.com/v1/audio-analysis/0Oi53c5eVcWMw8iOAJNTLH",188000,4,1,188000,FALSE,"https://api.spotify.com/v1/tracks/0Oi53c5eVcWMw8iOAJNTLH",FALSE,TRUE,"Hop Into My Whip",0,"https://p.scdn.co/mp3-preview/d3e2c783ad425c10631ef3682c6c5351826d4466?cid=8e8ac879e14447f9b47d9c124b7a9340",1,"track","spotify:track:0Oi53c5eVcWMw8iOAJNTLH","single","https://api.spotify.com/v1/albums/1VUdNVQkea6hzUQpymtSLv","1VUdNVQkea6hzUQpymtSLv","Hop Into My Whip","2020-05-22","day",1,"album","spotify:album:1VUdNVQkea6hzUQpymtSLv","https://open.spotify.com/album/1VUdNVQkea6hzUQpymtSLv","GBWUL2086923","https://open.spotify.com/track/0Oi53c5eVcWMw8iOAJNTLH","3vTmy4w7PxWEuFDFg2HcVG","The Potentialist","3vTmy4w7PxWEuFDFg2HcVG","the potentialist"
"2",0.565,0.615,5,-7.967,0,0.051,0.000318,0.0000625,0.273,0.425,156.041,"audio_features","3zhM4aRP8VebYO5k4pvKAD","spotify:track:3zhM4aRP8VebYO5k4pvKAD","https://api.spotify.com/v1/tracks/3zhM4aRP8VebYO5k4pvKAD","https://api.spotify.com/v1/audio-analysis/3zhM4aRP8VebYO5k4pvKAD",167000,4,1,167000,FALSE,"https://api.spotify.com/v1/tracks/3zhM4aRP8VebYO5k4pvKAD",FALSE,TRUE,"Ray Bans",0,"https://p.scdn.co/mp3-preview/2156c3bf2e1b9083c353cc853f78a8c3ea8e2d3c?cid=8e8ac879e14447f9b47d9c124b7a9340",1,"track","spotify:track:3zhM4aRP8VebYO5k4pvKAD","single","https://api.spotify.com/v1/albums/54Cr27fb9pGRx3p1gyfEG8","54Cr27fb9pGRx3p1gyfEG8","Ray Bans","2020-08-28","day",1,"album","spotify:album:54Cr27fb9pGRx3p1gyfEG8","https://open.spotify.com/album/54Cr27fb9pGRx3p1gyfEG8","QZ5FN2071433","https://open.spotify.com/track/3zhM4aRP8VebYO5k4pvKAD","3vTmy4w7PxWEuFDFg2HcVG","The Potentialist","3vTmy4w7PxWEuFDFg2HcVG","the potentialist"
"3",0.615,0.845,3,-6.95,0,0.0763,0.000729,0,0.0939,0.426,86.484,"audio_features","7elNjQrDR7B5fHehorjCIH","spotify:track:7elNjQrDR7B5fHehorjCIH","https://api.spotify.com/v1/tracks/7elNjQrDR7B5fHehorjCIH","https://api.spotify.com/v1/audio-analysis/7elNjQrDR7B5fHehorjCIH",187311,4,1,187310,TRUE,"https://api.spotify.com/v1/tracks/7elNjQrDR7B5fHehorjCIH",FALSE,TRUE,"What You Got",0,"https://p.scdn.co/mp3-preview/9e93c58b1c507da85353cc0ec72019aa0e2a323c?cid=8e8ac879e14447f9b47d9c124b7a9340",1,"track","spotify:track:7elNjQrDR7B5fHehorjCIH","single","https://api.spotify.com/v1/albums/1h4zUlS8Xx61YrwI9jPGms","1h4zUlS8Xx61YrwI9jPGms","What You Got","2020-11-13","day",1,"album","spotify:album:1h4zUlS8Xx61YrwI9jPGms","https://open.spotify.com/album/1h4zUlS8Xx61YrwI9jPGms","USLZJ2071636","https://open.spotify.com/track/7elNjQrDR7B5fHehorjCIH","3vTmy4w7PxWEuFDFg2HcVG","The Potentialist","3vTmy4w7PxWEuFDFg2HcVG","the potentialist"
"4",0.605,0.56,9,-5.225,0,0.0377,0.133,0.687,0.219,0.118,169.874,"audio_features","1GZWQiaLcB7fj3koh379RB","spotify:track:1GZWQiaLcB7fj3koh379RB","https://api.spotify.com/v1/tracks/1GZWQiaLcB7fj3koh379RB","https://api.spotify.com/v1/audio-analysis/1GZWQiaLcB7fj3koh379RB",141882,4,1,141882,FALSE,"https://api.spotify.com/v1/tracks/1GZWQiaLcB7fj3koh379RB",FALSE,TRUE,"Never Land",21,"https://p.scdn.co/mp3-preview/9653a87d2527b8740d36fc70f817a7d03f34c809?cid=8e8ac879e14447f9b47d9c124b7a9340",1,"track","spotify:track:1GZWQiaLcB7fj3koh379RB","single","https://api.spotify.com/v1/albums/2s2kXXmmrgrNeLYZyKvajr","2s2kXXmmrgrNeLYZyKvajr","Rainbow","2021-05-12","day",2,"album","spotify:album:2s2kXXmmrgrNeLYZyKvajr","https://open.spotify.com/album/2s2kXXmmrgrNeLYZyKvajr","CAENV2131661","https://open.spotify.com/track/1GZWQiaLcB7fj3koh379RB","780xJyn05s1UlkXG4UoQ5z","Sunny Fruit","780xJyn05s1UlkXG4UoQ5z","sunny fruit"
"5",0.626,0.676,1,-5.658,1,0.0284,0.0497,0.817,0.475,0.528,83.969,"audio_features","7lNeC9tJ0WemL0UrzuBuO2","spotify:track:7lNeC9tJ0WemL0UrzuBuO2","https://api.spotify.com/v1/tracks/7lNeC9tJ0WemL0UrzuBuO2","https://api.spotify.com/v1/audio-analysis/7lNeC9tJ0WemL0UrzuBuO2",126205,4,1,126205,FALSE,"https://api.spotify.com/v1/tracks/7lNeC9tJ0WemL0UrzuBuO2",FALSE,TRUE,"Mirage",5,"https://p.scdn.co/mp3-preview/f9b48326e0809985bf3f1a3692b21cf0076a5f13?cid=8e8ac879e14447f9b47d9c124b7a9340",2,"track","spotify:track:7lNeC9tJ0WemL0UrzuBuO2","single","https://api.spotify.com/v1/albums/2s2kXXmmrgrNeLYZyKvajr","2s2kXXmmrgrNeLYZyKvajr","Rainbow","2021-05-12","day",2,"album","spotify:album:2s2kXXmmrgrNeLYZyKvajr","https://open.spotify.com/album/2s2kXXmmrgrNeLYZyKvajr","CAENV2131662","https://open.spotify.com/track/7lNeC9tJ0WemL0UrzuBuO2","780xJyn05s1UlkXG4UoQ5z","Sunny Fruit","780xJyn05s1UlkXG4UoQ5z","sunny fruit"
"6",0.488,0.911,4,-8.781,0,0.358,0.0754,0.811,0.758,0.36,172.002,"audio_features","09EoT0OX4bbgCRpV0mGNrw","spotify:track:09EoT0OX4bbgCRpV0mGNrw","https://api.spotify.com/v1/tracks/09EoT0OX4bbgCRpV0mGNrw","https://api.spotify.com/v1/audio-analysis/09EoT0OX4bbgCRpV0mGNrw",145814,4,1,145813,FALSE,"https://api.spotify.com/v1/tracks/09EoT0OX4bbgCRpV0mGNrw",FALSE,TRUE,"Train To The Future",0,"https://p.scdn.co/mp3-preview/07b23f58a9e4ec5f1e27f9713134523f3379c8f3?cid=8e8ac879e14447f9b47d9c124b7a9340",1,"track","spotify:track:09EoT0OX4bbgCRpV0mGNrw","single","https://api.spotify.com/v1/albums/35LuOk8mYHCUkGVv0NCuBA","35LuOk8mYHCUkGVv0NCuBA","Train To The Future","2021-06-07","day",1,"album","spotify:album:35LuOk8mYHCUkGVv0NCuBA","https://open.spotify.com/album/35LuOk8mYHCUkGVv0NCuBA","CAENV2140155","https://open.spotify.com/track/09EoT0OX4bbgCRpV0mGNrw","780xJyn05s1UlkXG4UoQ5z","Sunny Fruit","780xJyn05s1UlkXG4UoQ5z","sunny fruit"
"7",0.685,0.734,1,-6.785,0,0.206,0.0815,0.0000455,0.335,0.589,171.918,"audio_features","2oal1cKzdXWJa8l74gfYKR","spotify:track:2oal1cKzdXWJa8l74gfYKR","https://api.spotify.com/v1/tracks/2oal1cKzdXWJa8l74gfYKR","https://api.spotify.com/v1/audio-analysis/2oal1cKzdXWJa8l74gfYKR",282000,4,1,282000,FALSE,"https://api.spotify.com/v1/tracks/2oal1cKzdXWJa8l74gfYKR",FALSE,TRUE,"No More Lamentation",4,"https://p.scdn.co/mp3-preview/70375e3f18d15f8fbda57771626774b90e5576b2?cid=8e8ac879e14447f9b47d9c124b7a9340",1,"track","spotify:track:2oal1cKzdXWJa8l74gfYKR","single","https://api.spotify.com/v1/albums/7bdhsNxGMGxtD5IuT1qLxK","7bdhsNxGMGxtD5IuT1qLxK","No More Lamentation","2016-07-22","day",2,"album","spotify:album:7bdhsNxGMGxtD5IuT1qLxK","https://open.spotify.com/album/7bdhsNxGMGxtD5IuT1qLxK","FR0U91601000","https://open.spotify.com/track/2oal1cKzdXWJa8l74gfYKR","35XcXQhLuCLJCLQu5fwtzc","Mary May","35XcXQhLuCLJCLQu5fwtzc","mary may"
"8",0.451,0.413,4,-7.809,0,0.0506,0.57,0,0.139,0.233,128.219,"audio_features","4SDhDq0dDaSZopXGJpW7xt","spotify:track:4SDhDq0dDaSZopXGJpW7xt","https://api.spotify.com/v1/tracks/4SDhDq0dDaSZopXGJpW7xt","https://api.spotify.com/v1/audio-analysis/4SDhDq0dDaSZopXGJpW7xt",262041,5,1,262040,FALSE,"https://api.spotify.com/v1/tracks/4SDhDq0dDaSZopXGJpW7xt",FALSE,TRUE,"That Thing",2,"https://p.scdn.co/mp3-preview/9dd79bcdedcb069c0626e436994df8962ebba47e?cid=8e8ac879e14447f9b47d9c124b7a9340",1,"track","spotify:track:4SDhDq0dDaSZopXGJpW7xt","single","https://api.spotify.com/v1/albums/1mBKImC7aPGR9N9vb3nA6M","1mBKImC7aPGR9N9vb3nA6M","That Thing","2020-01-21","day",1,"album","spotify:album:1mBKImC7aPGR9N9vb3nA6M","https://open.spotify.com/album/1mBKImC7aPGR9N9vb3nA6M","FRX201954743","https://open.spotify.com/track/4SDhDq0dDaSZopXGJpW7xt","35XcXQhLuCLJCLQu5fwtzc","Mary May","35XcXQhLuCLJCLQu5fwtzc","mary may"
"9",0.665,0.86,9,-6.704,1,0.14,0.00297,0.0083,0.0822,0.938,172.07,"audio_features","6Yma5ASEHQq87vjKN34mZs","spotify:track:6Yma5ASEHQq87vjKN34mZs","https://api.spotify.com/v1/tracks/6Yma5ASEHQq87vjKN34mZs","https://api.spotify.com/v1/audio-analysis/6Yma5ASEHQq87vjKN34mZs",210002,4,1,210002,FALSE,"https://api.spotify.com/v1/tracks/6Yma5ASEHQq87vjKN34mZs",FALSE,TRUE,"No More Lamentation (Jungle Mix)",2,"https://p.scdn.co/mp3-preview/088111e646f30ad311987741fe14ad992c21c0f8?cid=8e8ac879e14447f9b47d9c124b7a9340",2,"track","spotify:track:6Yma5ASEHQq87vjKN34mZs","single","https://api.spotify.com/v1/albums/7bdhsNxGMGxtD5IuT1qLxK","7bdhsNxGMGxtD5IuT1qLxK","No More Lamentation","2016-07-22","day",2,"album","spotify:album:7bdhsNxGMGxtD5IuT1qLxK","https://open.spotify.com/album/7bdhsNxGMGxtD5IuT1qLxK","FR0U91601001","https://open.spotify.com/track/6Yma5ASEHQq87vjKN34mZs","35XcXQhLuCLJCLQu5fwtzc","Mary May","35XcXQhLuCLJCLQu5fwtzc","mary may"
"10",0.356,0.247,9,-18.455,0,0.0405,0.778,0.00000467,0.364,0.628,91.973,"audio_features","6Cl7GUTvH3cEUIWEFU19jJ","spotify:track:6Cl7GUTvH3cEUIWEFU19jJ","https://api.spotify.com/v1/tracks/6Cl7GUTvH3cEUIWEFU19jJ","https://api.spotify.com/v1/audio-analysis/6Cl7GUTvH3cEUIWEFU19jJ",43987,4,1,43986,FALSE,"https://api.spotify.com/v1/tracks/6Cl7GUTvH3cEUIWEFU19jJ",FALSE,TRUE,"Zooloutro",0,"https://p.scdn.co/mp3-preview/7a128c64f63a81e300f75e439c9e948b33d2b431?cid=8e8ac879e14447f9b47d9c124b7a9340",12,"track","spotify:track:6Cl7GUTvH3cEUIWEFU19jJ","album","https://api.spotify.com/v1/albums/1YAHCICuGxmB1r5Sh42Phw","1YAHCICuGxmB1r5Sh42Phw","Zoolectro","2018-05-18","day",13,"album","spotify:album:1YAHCICuGxmB1r5Sh42Phw","https://open.spotify.com/album/1YAHCICuGxmB1r5Sh42Phw","FRPA81800012","https://open.spotify.com/track/6Cl7GUTvH3cEUIWEFU19jJ","35XcXQhLuCLJCLQu5fwtzc","Mary May","35XcXQhLuCLJCLQu5fwtzc","mary may"
