"","track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"1","1qGPIV4FDsZAmhdrTkIU5G","Mitt hjärta blöder - Spotify Studio It’s Hits Recording","Miriam Bryant",68,"1IjSZcNfQQ7eVLvvGycnkL","Mitt hjärta blöder - Spotify Studio It’s Hits Recording","2021-05-14","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.685,0.559,4,-5.709,1,0.0348,0.164,0.0000304,0.114,0.337,109.94,177830
"2","6HU7h9RYOaPRFeh0R3UeAr","deja vu","Olivia Rodrigo",92,"6s84u2TUpR3wdUv4NgKA2j","SOUR","2021-05-21","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.442,0.612,2,-7.222,1,0.112,0.584,0.0000057,0.37,0.178,180.917,215507
"3","6CtVEyME2La34RATPuJcnx","Mitt hjärta blöder","Veronica Maggio",55,"2fOs6I0CgvaZj9agU8EAlH","Satan i gatan (Bonus Version)","2011-01-01","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.595,0.699,3,-5.827,1,0.0315,0.358,0.016,0.194,0.392,106.938,201360
"4","1CuVhIZAAc8h360WoVJYhD","För Evigt","Hanna Ferm",68,"1nw8NdjGsc5dyfvXedPawH","För Evigt","2021-04-23","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.735,0.755,0,-4.786,1,0.0614,0.0887,0,0.438,0.655,127.978,156761
"5","2QQuKHdhPoAJchgY0HPw96","Right Round (feat. Ke$ha)","Flo Rida",27,"7k16AC80j4xHu5jWiZlym1","R.O.O.T.S. (Route of Overcoming the Struggle)","2009-03-27","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.713,0.76,7,-4.294,1,0.0563,0.0087,0,0.359,0.769,124.98,207973
"6","0TVV2gFROJaB3kIZyCUvIY","Rather Be (feat. Jess Glynne)","Clean Bandit",62,"0VDMjDj2AwPQXWQ7XhN9gG","New Eyes","2014-05-27","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.799,0.586,11,-6.735,1,0.0377,0.162,0.00000203,0.193,0.549,120.97,227833
"7","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe","Spice Girls",80,"3x2jF7blR6bFHtk4MccsyJ","Spice","1996-01-01","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,173027
"8","1xQ6trAsedVPCdbtDAmk0c","Savage Love (Laxed - Siren Beat)","Jawsh 685",85,"1XMw3pBrYeXzNXZXc84DNw","Savage Love (Laxed - Siren Beat)","2020-06-11","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,171375
"9","27OeeYzk6klgBh83TSvGMA","WITHOUT YOU","The Kid LAROI",90,"3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","2020-11-06","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,161385
"10","0h5ypmtJ39zQvp5jFBMYKp","Aldrig mer vara du","estraden",51,"5LnC7V6eorCnMISq9JAXbs","Mellan hägg och syrén","2020-08-28","Pop Mix","37i9dQZF1EQncLwOalG3K7","pop",0.593,0.424,5,-7.729,1,0.0355,0.231,0,0.0657,0.338,151.835,185825
